,crawling
0,기간 맞춤설정
1,"인공지능 스타트업 OZO, 드론과 AI를 활용한 화재 감지 솔류션 ..."
2,"AI 스타트업 OZO, 드론 기반 화재 감지 솔루션 '파이록스' 선보여"
3,[ET라씨로] 포항제철소 화재…포스코홀딩스 장초반 하락세
4,"메리츠화재, AI 기반 대고객 음성봇 서비스 시작 - 조선비즈"
5,소방관 목숨 AI가 구한다...'플래시오버' 예측신경망 개발
6,"엔비디아 뉴럴VDB, 오픈 VDB에 AI 및 GPU 최적화 제공"
7,인명 구조 돕는 AI 기술
8,"충남, 침입·쓰러짐·화재 발생땐 CCTV영상 바로 띄운다"
9,"""AI로 자연재해 대비한다""...과기정통부, 환경부와 협업으로 추진"
10,"메리츠화재, AI기반 대고객 음성봇 서비스 개시"
11,기간 맞춤설정
12,"KT, AI 주택형 솔루션 체험 쇼룸 개관"
13,응급상황에서 인명구조 돕는 AI 서비스 눈길
14,"[FPN-소방방재신문] 소방청 내년도 예산안, 2963억원 편성 ..."
15,"IoT로 노후교량 관리, AI로 철도관제시스템 고도화"
16,전남매일
17,"화재 잇따른 뚜껑형 딤채, 2005년 9월 이전 생산제품 리콜 ..."
18,"인텔리빅스 Vision AI, 인공지능으로 산업 현장 화재·산불 조기 ..."
19,8.16.(화) 경북매일 AI 헤드라인 뉴스 - 경북매일
20,CEOSCOREDAILY
21,[Aidea] ㉛ '반응형 화재 탐지기'로 화재 진압 골든타임 사수
22,기간 맞춤설정
23,[MK TECH REVIEW] 사람보다 빠르게 연기 감지…매의 눈 `AI 파수꾼`
24,화재대응·정책 추론 등 AI 융합사업 올해 716억 투입
25,ICT 및 AI 기술을 활용한 리튬이차전지 화재 예방 기술
26,“AI 소방관으로 화재 초기 골든타임 잡는다 ”
27,"국립소방연구원 ""화재 탐지와 인명구조에 AI 적용 증가...적용 ..."
28,"SK쉴더스, AI CCTV·화재 감지 센서 실은 산업안전장치 출시"
29,"'리튬배터리에 AI' 화재 걱정 뚝! 절대기술···""대기업 줄 선다"""
30,"""아바타가 순찰하고 AI가 화재감지""…LG CNS, 디지털 정부세종청사 구축"
31,"인하대 학부생, AI기반 화재방재·방범 위한 '레벨 4' 자율주행 ..."
32,[FPN-소방방재신문] AI가 자동으로 진짜 화재만 조준해 꺼준다
33,기간 맞춤설정
34,"""재난사고 예방에서 건강 돌봄까지""...쓰임새 확대되는 인공지능 ..."
35,대학생이 CCTV 활용 AI 스마트 화재감지시스템 개발 '눈길'
36,"[FPN-소방방재신문] (주)인텔리빅스, 비전 AI 기술로 공장 화재ㆍ ..."
37,"'매의 눈' 드론, 화재 감지 1초 만에 영상 전송…전국 최초 광주서 ..."
38,"[아이넷 AI 로봇 기자] 특징주, 메리츠화재-손해보험 테마 상승세에 5.17% ↑"
39,"ETRI, 화재·붕괴 등 재난현장서 실종자 신속히 찾는 센서 반도체 ..."
40,화재건물내 구조 대상자 파악하는 AI시스템 개발한다
41,"[위드AI] ③산업 안전, AI로 더 철저하게"
42,메리츠화재 AI 챗봇 '몬디'…보험 콜센터 업무 척척
43,[FPN-소방방재신문] 10초 내 실제 화재 감지하는 AI 화재감지기 ...
44,기간 맞춤설정
45,"[아이넷 AI 로봇 기자] 특징주, 흥국화재-손해보험 테마 상승세에 7.82% ↑"
46,중대재해처벌법?…비전AI가 안전사고 미리 막는다
47,똑똑해진 보험사 AI… 운전 습관 분석부터 보험금 청구까지 - 조선비즈
48,"알체라, 산불 잡는 AI 솔루션 'FireScout' 미국 ABC 집중 조명"
49,[르포] AI로 전력 산업 안전·보안·효율 높인 공기업 어디?
50,"LGU+, 항공대·쿼터니언과 화재감지 드론장비 개발 협력"
51,[해시태그 AI] 인공지능이 코로나19 잡을 수 있을까?
52,"""한국 AI 위상 보여줬다""...국내 개발자 및 학생, 인텔 첫 'AI 글로벌 ..."
53,인명구조에 건강 돌봄까지…빠르게 발전하는 인공지능 - 서울경제
54,[FPN-소방방재신문] [INdustrial Technology] 라온피플(주) 열 ...
55,기간 맞춤설정
56,"""드론 활약 눈에 띄네""…소방·의료 현장서 첨병 역할 톡톡"
57,규모 커진 산불 재난 현장서 활약하는 스마트 소방 기술
58,AI 드론이 화재 진압하는 시대 온다
59,IoT기반 소방안전서비스…화재 감지 후 현장도착까지 '1분'
60,"웹게이트, 불꽃감지 카메라의 차별화된 화재감지 성능으로 ..."
61,"알체라, AI 기술로 美캘리포니아 산불 감시한다"
62,"""당신에게 '핏'한 건강관리""... 삼성화재, 디지털 헬스케어 서비스 '애니핏 플러스' 제공"
63,"CCTV가 화재 찍으면 AI가 신고···ETRI, AI·네트워크 융합플랫폼"
64,화재 실시간 감지하는 '스마트드론' 나왔다
65,"국내 연구진, 자율주행 기술과 배터리 실험 진행 상황은"
66,기간 맞춤설정
67,"티앤엠테크, MS와 영상 통합관제 AI솔루션 '고스트아이' 출시"
68,"1500개사 경쟁 뚫은 8곳, 한국 대표AI기업으로"
69,"알체라 황영규 대표 ""3억대 이상 기기에 우리 AI 인증 솔루션 내장"""
70,"흥국생명, AI 서류 접수 진일보… ""분류 98%, 추출 97% 성공"""
71,"비전AI 전문기업 인텔리빅스, 엔비디아 메트로폴리스 파트너사 ..."
72,"인텔, 연례 ‘AI 글로벌 임팩트 페스티벌’ 최종 수상자 발표"
73,"현대중공업그룹, 인공지능 화재 감시시스템 상용화 성공"
74,AI로 119신고접수 받았더니 대처 시간 9초 가량 단축됐다
75,[FPN-소방방재신문] AI로 화재 건물 내 구조대상자 실시간 파악 ...
76,"건물 화재 위험, AI로 예측한다"
77,기간 맞춤설정
78,"메리츠화재, 치과보험 플랫폼 만든다…디디에이치와 업무협약 체결"
79,"손보재팬, AI 심사로 30분만에 보험금 지급"
80,"KT AI아파트 누적 100만 세대 수주…""주거문화 혁신"""
81,"[르포] ""사각지대가 없다"" 인텔리빅스가 선보인 비전AI 기술 ..."
82,"[영상+] ""이쪽으로 대피하세요"" AI가 지하철 화재시 가장 안전한 ..."
83,e대한경제
84,삼성 금융사들이 찜한 유망 스타트업 12곳은 어디?
