,crawling
0,기간 맞춤설정
1,"시흥시, 화재 대응 위해 전통시장에 '스마트 화재알림 서비스' 구축"
2,"시흥시, “시민이 체감하는 스마트 서비스 발굴·도입 확산에 최선 다할 계획”"
3,"시흥시, 전통시장 화재 걱정 '뚝'…첨단 화재 경보장치 구축"
4,"화재, 날씨, 교통 사각지대 알려준다…서산 '스마트 서비스'"
5,"화재 대응 스마트하게…제주도, 건축물 3차원 데이터 구축"
6,"""불난다"" ""들쭉날쭉하다""…태양광의 '실현가능성'이란?"
7,"서산시, 읍내동 일원 스마트서비스 본격 시행"
8,"삼성화재, 자녀보험 '마이 슈퍼스타' 출시"
9,"서산시, 읍내동 도시재생지역에 스마트서비스 본격 제공"
10,"삼성화재, 한가위 착한운전 캠페인 실시"
11,기간 맞춤설정
12,"대전시, 스마트시티 챌린지 성과 국내외 확산한다"
13,"삼성화재, '삼성화재 골프왕 스크린대회' 개최"
14,대전시 '스마트시티 챌린지' 성과 국내외 뽐낸다
15,"스마트 시흥, 안전하고 신속한 화재 대응 위해 전통시장에 ..."
16,"샐릭스, 제18회 대구 국제소방안전박람회서 '화재 비상 탈출용 ..."
17,"제보로 본 '힌남노'...포항 피해 속출, 포스코 화재에 산사태까지"
18,"스마트 화재 경보 Market 2022 글로벌 지역 전망, 혁신, 세분화 ..."
19,"메리츠화재, AI기반 대고객 음성봇 서비스 개시"
20,든든한 운전자보험 가입…추석 연휴 '안전한 귀성길' 되세요
21,침수·화재 도사리면 스마트폰이 먼저 경고…'K-가드' 앱 개발
22,기간 맞춤설정
23,"남원시, 치매안심마을 스마트 돌봄체계 구축 첫 행보 나서"
24,"영남이공대, 전기자동차 화재진압 직무역량 강화교육"
25,"의왕시, '지능형교통체계 국비 지원' 공모 선정…24억원 국비 확보"
26,스마트폰 앱으로 '벌쏘임' 위험지역 음성 안내받는다
27,치매안심마을 스마트돌봄체계 구축 '맞손'
28,[르포] “거대한 도시를 작은 화면에”…역대 최대 규모 '2022 월드 ...
29,달서구 재래시장서 화재…스마트 화재감지기로 피해 막아
30,용산구 '스마트 화재알림' 설치로 전통시장 화재 막는다
31,"[0906브런치] 카카오, 기업용 5G 사업 진출…삼성도 시장 진입 초읽기 외 경제금융뉴스"
32,하진용 세종대 전자정보통신공학과 교수 연구팀의 '원거리 무선 ...
33,기간 맞춤설정
34,"광주 동구, 대인동 예술담길 스마트 화재예방시스템 구축"
35,"KT-군포시, 스마트화재대응시스템 구축으로 시민 위기 해결 나선다"
36,노후 공동주택 화재사고 ‘스마트’하게 대응한다
37,"[전국안전신문] 용산구, 후암시장 스마트 화재알림시설 설치"
38,[뉴있저] 태풍 '힌남노' 피해 속출...향후 복구 전망은?
39,"로제타텍, 세븐씨티와 IoT 화재 감지 사업 업무협약 - 조선비즈"
40,[Aidea] ㉛ '반응형 화재 탐지기'로 화재 진압 골든타임 사수
41,"아파트 옥상비상문 원격 개폐…군포시, 화재대응시스템 실증"
42,"소방청 '119현장지원시스템' 전국 구축,,, 대형 재난발생시 ..."
43,규모 커진 산불 재난 현장서 활약하는 스마트 소방 기술
44,기간 맞춤설정
45,"KT, '스마트화재대응시스템'으로 스마트시티 혁신기술 공모 - KT ..."
46,공동주택 화재경보 LED 조명 등 소방 방재 기술 한자리에
47,스마트한 소방용수시설 관리로 화재진압 골든타임 확보한다
48,"[단독] 부산 소재 스타트업 '샤픈고트', 제1회 'WIPO 글로벌 ..."
49,[FPN-소방방재신문] [인터뷰] 격이 다른 화재탐지시스템 'SRF ...
50,"대형화재 연기 성층권까지 치솟아…오존층 파괴, 생명체 위협"
51,"화재 발생 현장정보, 출동하며 미리 확인한다"
52,"[영상]""전기차 배터리도 백신이 중요""… 스마트 BMS로 화재 위험↓"
53,"평택해양경찰서, IOT 기반 화재 및 침수 감지 센서 구축으로 대형사고 예방"
54,‘화재감지기 오작동’ 스마트하게 관리한다 < 진천 < 충북 < 기사 ...
55,기간 맞춤설정
56,[FPN-소방방재신문] [집중취재] 화재감지기 선진화 정책 막아선 ...
57,IoT기반 소방안전서비스…화재 감지 후 현장도착까지 '1분'
58,"화재발생시 신속한 소방경보... ""IoT무선화재시스템"" 관심"
59,충북과 나의 연결고리 '충북일보'
60,독거노인댁 두꺼비집 화재·정전 더인츠 스마트돌봄사업이 피해 ...
61,"[FPN-소방방재신문] 서울강서소방서, 전통시장 화재알림시설 ..."
62,"스마트한 소방용수 관리…""화재진압 골든타임 확보"""
63,화재 실시간 감지하는 '스마트드론' 나왔다
64,"김영진 에프에스 이사 ""시민 체감 전기화재 예방·에너지컨설팅 ..."
65,전기 자전거·전동 킥보드 폭발 증가···'화재 위험' 줄인다
66,기간 맞춤설정
67,"서산시, 읍내동 스마트한 안전지대 '첫발'"
68,"대구시, 스마트 소방용수시설 관리 통해 '화재진압 골든타임' 확보"
69,"데키스트, 중대재해 예방법 구현한 밀폐공간 관리용 스마트 센서 ..."
70,"인천공단소방서, 남동산단에 'IoT전기예방시스템' 도입 후 6건 ..."
71,스마트 소방·특수장비 전담 부서 도입 시급하다
72,"부산 '자갈치 시장', ""스마트 자갈치""로 변신한다"
73,[FPN-소방방재신문] 망원시장 큰불 막아… 빠른 신고와 첨단 ...
74,"""ICT 플랫폼으로 데이터 수집·분석·활용해 스마트서울 구현"""
75,"""재난사고 예방에서 건강 돌봄까지""...쓰임새 확대되는 인공지능 ..."
76,대학생이 CCTV 활용 AI 스마트 화재감지시스템 개발 '눈길'
77,기간 맞춤설정
78,삼성화재 다이렉트 '보험 피팅 서비스'…고객에게 착! 맞는 보장 추천한다
79,[스투/리포트] UN 보고서 “2030년까지 전 세계 산불 14% 증가할 ...
80,"슈나이더일렉트릭, 산업현장 안전을 위한 전기·화재 예방 솔루션"
81,"""아바타가 순찰하고 AI가 화재감지""…LG CNS, 디지털 정부세종청사 구축"
82,"[FPN-소방방재신문] (주)디엠시스템엔지니어링, 화재 대피 돕는 ..."
83,"로제타텍 ""디지털 트윈으로 화재 잡는다"""
84,[SECON & eGISEC 2021] 스마트 화재감지 시스템 선보인 웹 ...
85,"슈나이더일렉트릭, 전기·화재 사고 산재 예방 위한 솔루션 제공"
86,"삼성화재, 운전자보험 개정으로 상품 경쟁력 향상 '박차'"
87,"그립, 스마트잭과 손잡고 '산업안전 전문 기업'으로 도약"
88,기간 맞춤설정
89,도시재생지역에 스마트 화재감지·빗물받이 등 스마트기술 적용 ...
90,"서울소방, 전기차 화재 최적의 진화 방안 찾는다"
91,"노인 생활 돌봄 시스템 '욜빙', 화재 초기 진압 도왔다"
92,"""전기차 배터리도 백신이 중요""… 스마트 BMS로 화재 위험↓"
93,"화재현장 정보, 출동하며 미리 확인…119 현장지원시스템 구축"
94,"계속되는 ESS 화재, 해법 어디에"
95,"[FPN-소방방재신문] 서울중부소방서, 스마트 화재감지기 알림 ..."
96,"KCL, ESS 화재안전성 세미나 개최"
97,"삼성화재, 2022년 우수인증설계사 6164명 배출"
98,"웹게이트, 불꽃감지 카메라의 차별화된 화재감지 성능으로 ..."
99,기간 맞춤설정
100,10초 안에 화재 발생 알려주는 지능형 화재감지기 개발
101,"경주시, 행복황촌 스마트안전도시 변신 착수"
102,"흥국화재, CEO교체로 체질개선·소통혁신 '박차'"
103,세계 최초 화재·폭발 위험없는 '리튬이온전지' 개발
104,"SK에너지 울산공장 화재, 배터리 발화 가능성은 낮아"
105,[FPN-소방방재신문] [INdustrial Technology] 라온피플(주) 열 ...
106,"'ESS화재 초기에 잡는다' 소방청, 화재안전기준 제정안 발표"
107,"LGU+, 항공대·쿼터니언과 화재감지 드론장비 개발 협력"
108,전기차 배터리 광주서 전항목 시험·인증 가능해졌다
109,[FPN-소방방재신문] “스마트폰으로 소방관련법 간편하게 본다 ...
110,기간 맞춤설정
111,"쿠팡 물류센터 잇단 화재, 주목받는 '스마트 안전기술'"
112,"메리츠화재, 24시간 업무처리 '디지털 ARS서비스' 오픈"
113,‘생활밀착형 도시재생 스마트기술’이 과연 뭘까? [최진석의 부동산 팩트체크]
114,강원소방 ‘스마트 화재경보 시스템’ 시범사업 전국 첫 추진
115,"한국지멘스, 스마트 화재 탐지 시스템 'SRF 2.0' 출시"
116,"지능형 화재감지기, IoT 통신망으로 '골든타임' 확보"
117,"슈나이더 일렉트릭, 스마트 공장 위한 통합 자동화 솔루션 다수 ..."
118,"한국지멘스 스마트 인프라, 지능형 화재 탐지 시스템 SRF 2.0 출시"
119,유니마이크론 화재로 반도체 기판 수급 비상…AP·스마트폰 생산 ...
120,"[FPN-소방방재신문] 로제타텍, 대한노인회와 IoT 화재 예방 업무 ..."
121,기간 맞춤설정
122,"아이엘커누스, 스마트 시스템 쓰면 물류센터 화재 막을 수 있다"
123,이재용도 찾아간 그곳…'60평 화재' 사고에 삼성 '초비상'
124,"LG유플러스, 국내 최초 '드론 기반 화재 감지 서비스' 공인받아"
125,국내 최초 ‘드론 화재 감지 서비스’ 공인
126,"크레소티-한화손보, 약국 전용 '팜페이 스마트 안심보험' 출시"
127,"인천, 전국 최초 GIS플랫폼 기반 화재현장 '스마트 지휘 시스템 ..."
128,"화재 발생하면, 인공지능이 대피 돕는다"
129,구로구 전통시장 ‘스마트 화재 알림 서비스’ 구축
130,"""시흥시 정보 한눈에""…'스마트 시정' 시스템"
131,스마트히터•센서로 태양광 시설 화재 막는다…'파루 新기술' 접속 ...
132,기간 맞춤설정
133,"[FPN-소방방재신문] (주)로제타텍, 무선 자동화재탐비설비 전 ..."
134,"GS건설, 건설현장 지하에서도 위험요소 관리…IoT 화재감지 OK"
135,"쪽방촌 화재 막는다···영등포구, 자동화재알림시스템 구축"
136,화재 신고 접수되면 현장 영상도 함께…'스마트시티' 첫 가동
137,[FPN-소방방재신문] “불나기 전 먼저 안다” IoT 융ㆍ복합 화재 ...
138,"에프에스, 스마트화재감지 시스템 테스트 성능 인증"
139,"“화재 유발도 가능, 스마트 플러그 선택 주의해야” NCC 그룹"
140,화재때 바닥에 대피안내 불빛… 사람들 몰리면 분산 유도
141,"인하대 전기공학과, 스마트 캠퍼스 챌린지 공모전 우수상 수상"
142,대책 없는 대형 화재 IoT화재감지시스템 '스마트콜'로 잡는다.
143,기간 맞춤설정
144,"지닉스, 가스·화재 안전시스템 집중 홍보"
145,"삼성화재, 다양한 사내 메타버스 프로그램 선보여"
146,"관악구, 스마트 안전조명 기반 범죄·화재 등 안전사고예방 실증 ..."
147,"로제타텍 화재감지기 스마트콜, CJ대한통운이 건립하는 아시아 ..."
148,"서울, 전통시장 ‘지능형 화재감지시스템’ 도입"
149,"동아대, 국토부 스마트챌린지 사업 선정"
150,[스마트 리빙] 모기향 화재 조심하세요
151,터널 내 화재 등 신속 감지 '스마트 제트팬' 개발 착수
152,"안성시, 스마트시티 통합플랫폼 기반 구축사업 완료"
153,"수원시, '스마트 방재 시스템' 19일부터 운영"
154,기간 맞춤설정
155,스마트 아크차단기로 전기 화재 '뚝'
156,슈나이더일렉트릭 “우린 전기 화재 감시 관제사” - 전자부품 전문 ...
157,이승진 존슨콘트롤즈 코리아 대표 선임
158,클릭 세 번으로 119에 신고한다
159,"車보험 보상 처리 고객 스스로…삼성화재, 간편요청시스템 오픈"
160,[스마트 리빙] 겨울철 '가습기 화재' 주의하세요
161,"LG전자, 스페인서 화재 피해 산림 복구…스마트폰·드론 투입"
162,"아이앤씨, ‘스마트 아크차단기’ 개발…‘전기화재 걱정 끝~’"
163,[FPN-소방방재신문] 서울시 IoT 기술로 소방시설관리시스템 ...
164,"[알고보니] 스마트폰 총아 쿠팡, 왜 휴대전화 금지하나"
165,기간 맞춤설정
166,"에프에스, '아이 파이어센스'로 전통시장 화재 예방"
167,[스마트 리빙] 먼지 쌓인 콘센트 화재 주의!
168,코로나가 바꾼 근무환경…보험업계 '스마트오피스' 도입 붐
169,"한국지멘스, 자동화재 탐지 설비시장 공략"
170,[Tech & BIZ] 화재 위험 없는 '꿈의 배터리'가 온다 - 조선비즈
171,"세기원, '스마트 우레탄 폼보드' 개발…화재 시 자체 방화막 형성"
172,"고령 고객 목소리 듣는다…삼성화재, 시니어 고객패널 도입"
173,"SK텔레콤-하니웰, IoT 화재경보 시스템 공동개발"
174,"유니마이크론 화재, 스마트폰 시장 연쇄타격?"
175,"SK텔레콤, 스마트팩토리 서비스에 '화재 방지 솔루션' 추가"
176,기간 맞춤설정
177,[스마트 리빙] 식용유 닦은 휴지가 화재 원인?
178,"포스코, 현장 근로자 1200명에게 '스마트워치' 준 까닭은?"
179,"화재보험협회, 창립 49주년 기념식 개최"
180,'첨단 스마트기술' 세종시 소방차 출동 빨라진다
181,"이노뎁 지능형 화재감지기 '스탑파이어', 남대문 전통시장에 시범 ..."
182,"삼성화재, 신규광고 '보험이 왜 거기서 나와' 선보여"
183,지하주차장서 충전 괜찮나…전기자동차 화재주의보
184,소방관들이 배터리 과충전 '화재 패턴' 밝혔다
185,"배터리 성능 저하 없는 급속충전, 가능할까? – Sciencetimes"
186,"갑자기 고장난 버스카드·신용카드, 알고보니 스마트폰 무선충전 때문 - 조선비즈"
187,기간 맞춤설정
188,"삼성화재, '스마트 보장분석 서비스' 이용자 200만명 돌파"
189,4차 산업혁명 시대의 소방기술 변화는?
190,ESS 화재에 中저가 배터리 공습 - 전자부품 전문 미디어 디일렉
191,"""미인증 저가 무선충전패드, 화재원인 될 수 있다"""
192,"디지털 포렌식 전문복구센터 “한국포렌식법률연구소” 침수, 화재 ..."
193,"삼성화재, '스마트링크' 확대...톡으로 보상과정 실시간 안내"
194,[영업이익 강소기업] (20) PI첨단소재-스마트폰·전기차 필수 소재 ...
195,세종호수공원 스마트시티 체험존 서비스확대
196,"LH, 다음 달 부터 설계되는 모든 공동주택에 화재감지기 도입"
197,중소기업 스마트공장에 동형암호 적용 안전진단 첫 성공
198,기간 맞춤설정
199,"[강소기업이 뛴다] 에프에스, 스마트 전기·화재 예방시스템 'FiPAS'로 최첨단 안전관리"
200,"파인디앤씨, ‘대한민국 스마트건축도시대상’ 대한건축학회장상 수상"
201,IoT화재 감지시스템...연기-열로 화재 인식 < 산업 < 종합 < 기사 ...
202,"세븐일레븐, 초저가 브랜드 '굿민' 생활용품 출시"
203,전압 다른 외국에서 스마트폰 충전해도 문제 없을까?
204,"포르쉐 '타이칸', 미국서 차고지 주차 중에 화재 폭발 사고"
205,"동부화재, T맵 안전운전 점수 따라 보험료 할인… 배타적 사용권 ..."
206,"손해보험업계, 손해율 이유로 자동차 보험료 인상 '본격화'"
207,이건희 성 동영상에 스마트폰 화재까지…추락하는 삼성
208,"영화관 대신 자동차 극장으로, 취미생활 바꾼 코로나"
209,기간 맞춤설정
210,전남매일
211,화재시 아파트 옥상 출입문 자동개폐장치 의무화
212,전남매일
213,[포토] 밀양 세종병원 큰 불…화염·연기 속 긴급 구조
214,"군포소방서, 힐스테이트 금정역에서 지하층 화재진압 훈련"
215,전남매일
216,9년 만에 나타난 훈민정음 상주본…불에 그슬렸다
217,[안전점검 현장을 가다] 자전거 사고 '아찔'…매년 수백 명 숨져
218,문 대통령 “유가족 욕이라도 들어드리는게 대통령 지금 할일”
219,"“스마트폰, 중학교 1학년 이상 사용이 적절”"
220,기간 맞춤설정
221,일본산 냉장대구서 또 방사성물질
222,"굽이굽이 크리스털, 능선마다 불자국…이런 산수화 보셨나요?"
223,소방관·경찰관도 부상 속출…이재민 130여 명
224,[K스타] “떡잎부터 달랐다” 교복 모델 출신 스타
