,name,present_price,plus_minus,fluc_rate,face_value,market_cap,trading_volume
0,삼성전자,"73,500",100,+0.14%,100,"4,387,790","1,160,011"
1,LG에너지솔루션,"441,000","1,000",+0.23%,500,"1,031,940","69,469"
2,SK하이닉스,"129,500","1,000",+0.78%,"5,000","942,763","450,057"
3,삼성전자우,"67,100",200,+0.30%,100,"552,157","70,434"
4,삼성바이오로직스,"778,000","3,000",+0.39%,"2,500","514,764","4,627"
5,NAVER,"312,000","1,000",-0.32%,100,"511,833","63,809"
6,LG화학,"594,000","4,000",+0.68%,"5,000","419,319","41,744"
7,카카오,"92,500",700,+0.76%,100,"412,515","234,305"
8,현대차,"181,000",500,-0.28%,"5,000","386,739","52,490"
9,삼성SDI,"544,000","3,000",+0.55%,"5,000","374,079","16,370"
10,기아,"77,800",100,+0.13%,"5,000","315,373","92,216"
11,KB금융,"63,000",400,+0.64%,"5,000","261,959","136,650"
12,POSCO,"275,000","3,500",-1.26%,"5,000","239,764","50,798"
13,카카오뱅크,"47,800",550,+1.16%,"5,000","227,126","204,187"
14,셀트리온,"164,000","1,000",+0.61%,"1,000","226,247","55,770"
15,현대모비스,"227,000",500,+0.22%,"5,000","214,681","12,820"
16,신한지주,"40,650",0,0.00%,"5,000","209,998","164,349"
17,삼성물산,"110,000",500,+0.46%,100,"205,576","11,955"
18,LG전자,"122,000",500,+0.41%,"5,000","199,650","109,417"
19,카카오페이,"143,500","4,500",+3.24%,500,"189,347","61,773"
20,SK이노베이션,"202,000","1,000",+0.50%,"5,000","186,780","32,769"
21,SK,"225,000","3,500",+1.58%,200,"166,836","7,277"
22,LG생활건강,"999,000","8,000",-0.79%,"5,000","156,026","8,250"
23,하나금융지주,"51,600",400,+0.78%,"5,000","154,925","112,034"
24,HMM,"31,600",850,+2.76%,"5,000","154,536","2,332,576"
25,한국전력,"22,500",50,+0.22%,"5,000","144,442","118,015"
26,크래프톤,"282,000","8,500",+3.11%,100,"138,383","52,021"
27,삼성생명,"62,200",400,+0.65%,500,"124,400","45,934"
28,삼성전기,"165,500","1,000",+0.61%,"5,000","123,618","52,387"
29,SK텔레콤,"55,000",0,0.00%,100,"120,358","39,129"
30,LG,"75,800",400,-0.52%,"5,000","119,234","14,600"
31,하이브,"286,500","13,000",+4.75%,500,"118,477","183,958"
