,crawling
0,기간 맞춤설정
1,산업현장 안전용 '스마트 산소호흡기' 눈길
2,스마트폰 앱으로 '벌쏘임' 위험지역 음성 안내받는다
3,"소방산업 혁신, 국민 안전으로 이어가야"
4,"대전시, 규제혁신을 통한 스마트 소방행정 빛났다"
5,"화재 대응 스마트하게…제주도, 건축물 3차원 데이터 구축"
6,"덕진소방, 심정지 소생률 향상 '스마트 의료지도' 교육 강화"
7,"오성정보통신, 지역 유일 국제소방박람회 참여···소방청장 격려 ..."
8,"샐릭스, 산업용 스마트 산소호흡기 공개…""4시간 연속 사용 가능"""
9,"현대엘리베이터, '스마트 엘리베이터 국내외 공모전' 개최"
10,제주 첨단 기술로 도민 안전 서비스 구축
11,기간 맞춤설정
12,건축물 3차원 데이터로 구축… 재난 대비
13,"샐릭스, 제18회 대구 국제소방안전박람회서 '화재 비상 탈출용 ..."
14,"태풍 대비, 옥외 간판 등 시설물 안전여부 꼭 확인하세요"
15,[FPN-소방방재신문] [119TalkTalk] “학습된 소방관만이 소방 ...
16,"제주도민 안전, 첨단 기술로 똑똑하게 지킨다"
17,광주일보
18,[FPN-소방방재신문] [연속기획④] 소방안전관리자와 발전해 온 ...
19,"의왕시, '지능형교통체계 국비 지원' 공모 선정…24억원 국비 확보"
20,"덕진소방, 심정지 소생률 향상 '스마트 의료지도' 교육 강화"
21,"인천시교육청, 2023년 그린스마트 미래학교 10곳 선정…소방고 등"
22,기간 맞춤설정
23,"행안부, 대전소방본부 시뮬레이션 교육장 등 지자체 민·관 규제 ..."
24,"[FPN-소방방재신문] 김동현 전주대 교수, 과기부 장관 표창 수상 ..."
25,"창원소방본부, 대형 화재 막은 시민 4명에게 '골든타임 119상' 수여"
26,"[태풍 힌남노] 또 지하주차장 피해…""물 가장 먼저 차고 배수느려 위험"""
27,[조간브리핑]드론으로 산불 진압··· '스마트 소방' 시대 열린다
28,"광주시, 추석 연휴 종합상황실 운영"
29,현역군인 대상 보훈제도 휴대폰 알림 서비스 등 규제혁신 대표 ...
30,"한전KDN, 스마트소방활동정보시스템 시연 성공"
31,"인천시, 청렴 평가 우수 부서 및 유공 공무원에 시장 표창"
32,스마트 소방·특수장비 전담 부서 도입 시급하다
33,기간 맞춤설정
34,"휴림로봇, AI·loT 융합 스마트 소방 로봇 개발 ""소방관 안전 대안"""
35,"소방청 '119현장지원시스템' 전국 구축,,, 대형 재난발생시 ..."
36,[FPN-소방방재신문] 모르고 쓰면 계륵 '스마트 인명구조 경보기'
37,"서울시, 빅데이터·AI 적용 '재난대응 디지털 플랫폼' 구축한다"
38,[FPN-소방방재신문] [기획] 주목받은 2022 FIRE TECH KOREA ...
39,[FPN-소방방재신문] “스마트폰으로 소방관련법 간편하게 본다 ...
40,"전북소방본부, 스마트 의료지도 시범사업 간담회"
41,"디케이테크인, 거림소방과 '스마트 안전관리' 협업"
42,"[FPN-소방방재신문] 태백소방서, 태백시와 함께 스마트 버스 ..."
43,"'국방과학+소방기술' 특수재난 완벽제압 ""맞손"""
44,기간 맞춤설정
45,"재난정보 공유·활용…경남소방본부, '스마트119' 서비스 구축"
46,"KT-군포시, 스마트화재대응시스템 구축으로 시민 위기 해결 나선다"
47,[FPN-소방방재신문] 건설업 안전보건관리비 사용 범위 확대 ...
48,"[뉴스쉽] 중국 경제와 헤어질 결심?…중국, 어떻게 달라졌길래"
49,"재난현장 ""스마트 아이"" 소방드론, 5년새 현장출동 10배 넘게 증가"
50,[FPN-소방방재신문] “출동 전 현장 정보 제공한다”… 현장지원 ...
51,재난현장 출동 대원 스마트기기로 재난정보 신속 공유
52,[FPN-소방방재신문] “위치 전송 덕에 살았다”… (주)한국안전 ...
53,"거리의 작은 소방관 '보이는 소화기', 효과도 '톡톡' 보이네!"
54,"TTA, IoT 기반 실시간 소방시설 관리시스템 표준화 추진"
55,기간 맞춤설정
56,소방시설 표준화로 실시간 일괄 점검 가능해진다
57,"경기북부소방-KT, 바디캠 활용해 재난현장 대응력 강화"
58,119 시스템 재난환경 변화에 맞춰 스마트하게 재설계된다
59,[FPN-소방방재신문] 경기북부소방-KT강북강원법인고객본부 ...
60,"[FPN-소방방재신문] [여기 이기업] 거림소방(주), 소방시설 관리 ..."
61,[FPN-소방방재신문] [119기고] 디지털트윈기반 현장지휘 플랫폼 ...
62,[FPN-소방방재신문] [인터뷰] 격이 다른 화재탐지시스템 'SRF ...
63,"버넥트·에이티지, 광주소방안전본부에 재난 안전 물품 기부"
64,[FPN-소방방재신문] [취임사-전문] 이흥교 제4대 소방청장
65,"화재 발생 현장정보, 출동하며 미리 확인한다"
66,기간 맞춤설정
67,디지털트윈으로 스마트 소방플랫폼 구축.. LX-소방청 MOU
68,"샤픈고트, ENTECH 2022서 소방과 시큐리티 융복합한 재난안전제품 알린다"
69,[안전보건전문가 특강 취재] 스마트화 되어가는 현장의 안전관리 ...
70,"소방청, 2022년도 소방안전 표어·포스터·사진 공모"
71,"파라텍, 총 367억원 규모 삼성전자 소방기계공사 수주계약 체결"
72,"구미소방서, 'Mobile 소방장비 가이드북' 개발·구축"
73,노후 공동주택 화재사고 ‘스마트’하게 대응한다
74,"우리넷, IoT 기반 실시간 소방시설 관리시스템 표준화 참여"
75,'재난현장 출동' 119대원에게 현장정보 실시간 제공
76,"한전KDN, ‘안전솔루션’ 개발로 기관 안전경영 지원"
77,기간 맞춤설정
78,"한전KDN, 안전관리 중점기관 대상 안전솔루션 시연 및 설명회 ..."
79,"김은혜 후보, '경기 소방 역량 강화 5대 공약' 발표"
80,"보도자료 소방청, 소방업무 빅데이터 분석 통해 과학소방 앞당겨"
81,"서울소방, 전기차 화재 최적의 진화 방안 찾는다"
82,[FPN-소방방재신문] [BEST 119] '구급 사각지대 해소한다 ...
83,"[밀양24시] 밀양시, 스마트팜 코리아 박람회 참가…귀농·귀촌 안내"
84,전남매일
85,제17회 국제소방안전박람회 개막…최첨단 소방안전 장비 및 ...
86,"안전보건공단 '시니어스마트센터', 키오스크·스마트폰 사용 등 ..."
87,[FPN-소방방재신문] [기획] HDC 아이콘트롤스 최첨단 AIoT 기술 ...
88,기간 맞춤설정
89,"경기북부소방-KT, 바디캠 등 정보통신기술(ICT)로 재난현장 ..."
90,"빅데이터 분석 이용해 선제적 소방활동 증진,, 소방청, 빅데이터 ..."
91,"대구소방, 올해 주요 성과 분석…내년 현안 업무 추진 박차"
92,[FPN-소방방재신문] [INdustrial Technology] 라온피플(주) 열 ...
93,"""IoT로 소방시설 실시간 감시…화재 피해 줄인다"""
94,IoT기반 소방안전서비스…화재 감지 후 현장도착까지 '1분'
95,"[FPN-소방방재신문] LG CNS, DX 기술로 정부세종청사 '디지털 ..."
96,"ETRI, 재난현장 인명탐지 레이저 센서 시스템 개발"
97,"화재현장 정보, 출동하며 미리 확인…119 현장지원시스템 구축"
